AFR,CLT1,FuelPres,MAP,MAT,OilPres,OilTemp,RPM,VSS
,,,,,,,3998.0,
0.0,89.9000015258789,0.0,0.0,0.0,39.900001525878906,0.0,,19.899999618530273
0.0,85.0,0.0,0.0,0.0,35.0,0.0,4000.0,20.0
0.0,85.0,0.0,0.0,0.0,35.0,0.0,4001.0,20.0
0.0,85.0,0.0,0.0,0.0,35.099998474121094,0.0,4012.0,20.200000762939453
0.0,85.0,0.0,0.0,0.0,35.099998474121094,0.0,4013.0,20.200000762939453
0.0,85.0999984741211,0.0,0.0,0.0,35.29999923706055,0.0,4032.0,20.600000381469727
0.0,85.0999984741211,0.0,0.0,0.0,35.29999923706055,0.0,4033.0,20.600000381469727
0.0,85.19999694824219,0.0,0.0,0.0,35.400001525878906,0.0,4046.0,20.899999618530273
0.0,85.19999694824219,0.0,0.0,0.0,35.400001525878906,0.0,4047.0,20.899999618530273
0.0,85.19999694824219,0.0,0.0,0.0,35.5,0.0,4059.0,21.100000381469727
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4060.0,21.200000762939453
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4061.0,21.200000762939453
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4062.0,21.200000762939453
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4063.0,21.200000762939453
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4064.0,21.200000762939453
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4065.0,21.299999237060547
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4066.0,21.299999237060547
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4067.0,21.299999237060547
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4068.0,21.299999237060547
0.0,85.30000305175781,0.0,0.0,0.0,35.599998474121094,0.0,4069.0,21.299999237060547
0.0,85.30000305175781,0.0,0.0,0.0,35.70000076293945,0.0,4070.0,21.399999618530273
0.0,85.30000305175781,0.0,0.0,0.0,35.70000076293945,0.0,4071.0,21.399999618530273
0.0,85.30000305175781,0.0,0.0,0.0,35.70000076293945,0.0,4072.0,21.399999618530273
0.0,85.30000305175781,0.0,0.0,0.0,35.70000076293945,0.0,4073.0,21.399999618530273
0.0,85.30000305175781,0.0,0.0,0.0,35.70000076293945,0.0,4074.0,21.399999618530273
0.0,85.30000305175781,0.0,0.0,0.0,35.70000076293945,0.0,4075.0,21.5
0.0,85.30000305175781,0.0,0.0,0.0,35.70000076293945,0.0,4076.0,21.5
0.0,85.30000305175781,0.0,0.0,0.0,35.70000076293945,0.0,4077.0,21.5
0.0,85.30000305175781,0.0,0.0,0.0,35.70000076293945,0.0,4078.0,21.5
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4090.0,21.799999237060547
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4091.0,21.799999237060547
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4092.0,21.799999237060547
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4093.0,21.799999237060547
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4094.0,21.799999237060547
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4095.0,21.899999618530273
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4096.0,21.899999618530273
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4097.0,21.899999618530273
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4098.0,21.899999618530273
0.0,85.4000015258789,0.0,0.0,0.0,35.900001525878906,0.0,4099.0,21.899999618530273
0.0,85.5,0.0,0.0,0.0,36.099998474121094,0.0,4112.0,22.200000762939453
0.0,85.5,0.0,0.0,0.0,36.099998474121094,0.0,4113.0,22.200000762939453
0.0,85.5,0.0,0.0,0.0,36.099998474121094,0.0,4114.0,22.200000762939453
0.0,85.5,0.0,0.0,0.0,36.099998474121094,0.0,4115.0,22.299999237060547
0.0,85.5,0.0,0.0,0.0,36.099998474121094,0.0,4116.0,22.299999237060547
0.0,85.5,0.0,0.0,0.0,36.099998474121094,0.0,4117.0,22.299999237060547
0.0,85.5,0.0,0.0,0.0,36.099998474121094,0.0,4118.0,22.299999237060547
0.0,85.5,0.0,0.0,0.0,36.099998474121094,0.0,4119.0,22.299999237060547
0.0,85.5999984741211,0.0,0.0,0.0,36.29999923706055,0.0,4131.0,22.600000381469727
0.0,85.5999984741211,0.0,0.0,0.0,36.29999923706055,0.0,4132.0,22.600000381469727
0.0,85.5999984741211,0.0,0.0,0.0,36.29999923706055,0.0,4133.0,22.600000381469727
